ID,INSTANCE_SIZE,HEURISTIC,WARM START,BIG M
TestATYMU,Test,2.52,3.23,2.68
TestCPQVM,Test,1.96,3.54,6.52
TestPZ4KA,Test,3.67,4.94,2.7
Test84IDD,Test,1.84,4.43,2.53
PPTSLI,P,75.13,2169.9,30269.74
PFPKZK,P,91.29,1478.39,26503.6
PQG100,P,115.01,879.92,16089.34
PAZ2O5,P,92.88,2311.09,23321.9
PFRASV,P,94.56,1308.78,11982.72
PVV1SY,P,77.88,933.85,20025.76
PE7TA9,P,90.19,1142.18,19755.33
P2HN6O,P,87.1,1399.58,13086.87
P7XK0B,P,78.68,3872.31,16539.06
POV362,P,84.45,4562.0,11948.98
S9VG2I,S,13.61,202.95,1607.27
ST2F8P,S,15.02,495.48,2166.07
S3AMLQ,S,12.68,529.52,820.16
S7MXS0,S,12.14,136.43,458.58
SAY4YR,S,12.8,669.91,1021.29
S8OYKH,S,10.34,189.92,230.38
SW7YR2,S,11.02,409.26,1605.64
SWTNUP,S,16.02,551.72,1226.17
SRZJZ9,S,11.49,835.64,1048.02
S69U5I,S,10.59,1648.57,2917.91
S00EVS,S,13.11,1100.87,2351.89
